id,title,poster_path,status,genre,overview,budget,revenue,production_country,production_company,vote_count,vote_average,release_date,language
3175,Barry Lyndon,/dOJtBSyI30wWc08UmyEKLsu4Rfk.jpg,Released,Drama,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",11000000,198992,"Hawk Films, Peregrine, Warner Bros. Pictures","Hawk Films, Peregrine, Warner Bros. Pictures",2537,8.007,1975-12-18,en
265177,Mommy,/u5jbTMqze9U2nEhfFJmtDXxc89m.jpg,Released,Drama,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",4900000,3494070,"Metafilms, Sons of Manual","Metafilms, Sons of Manual",2534,8.251,2014-09-19,fr
597208,Nightmare Alley,/680klE0dIreQQOyWKFgNnCAJtws.jpg,Released,Thriller,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.,60000000,39629195,"Searchlight Pictures, Double Dare You Productions","Searchlight Pictures, Double Dare You Productions",2530,6.992,2021-12-02,en
10734,Escape from Alcatraz,/uORr2GXQnyqgBOg6tVsRCJD2qxc.jpg,Released,Drama,"San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan.",8000000,43004381,"Paramount, Malpaso Productions","Paramount, Malpaso Productions",2529,7.526,1979-06-22,en
420814,Christopher Robin,/i6Ytex4d3CdfIKJFxB5v5vh24vb.jpg,Released,Adventure,"Christopher Robin, the boy who had countless adventures in the Hundred Acre Wood, has grown up and lost his way. Now it’s up to his spirited and loveable stuffed animals, Winnie The Pooh, Tigger, Piglet, and the rest of the gang, to rekindle their friendship and remind him of endless days of childlike wonder and make-believe, when doing nothing was the very best something.",75000000,99138899,"Walt Disney Pictures, 2DUX²","Walt Disney Pictures, 2DUX²",2529,7.327,2018-08-02,en
1381,The Fountain,/kwh3mq2HNvf4AHAZSNyJsdVx0uJ.jpg,Released,Drama,"Spanning over one thousand years, and three parallel stories, The Fountain is a story of love, death, spirituality, and the fragility of our existence in this world.",35000000,15304890,"Regency Enterprises, Protozoa Pictures, New Regency Pictures, Muse Entertainment, Warner Bros. Pictures","Regency Enterprises, Protozoa Pictures, New Regency Pictures, Muse Entertainment, Warner Bros. Pictures",2527,6.95,2006-11-22,en
7484,Open Season,/w5Lctmkc1yah215Luxmci4djaiW.jpg,Released,Animation,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",85000000,197309027,"Sony Pictures Animation, Columbia Pictures","Sony Pictures Animation, Columbia Pictures",2526,6.143,2006-09-27,en
10999,Commando,/ollPAAAgZ7euU8VisfqU3cuXhZ6.jpg,Released,Action,"John Matrix, the former leader of a special commando strike force that always got the toughest jobs done, is forced back into action when his young daughter is kidnapped. To find her, Matrix has to fight his way through an array of punks, killers, one of his former commandos, and a fully equipped private army. With the help of a feisty stewardess and an old friend, Matrix has only a few hours to overcome his greatest challenge: finding his daughter before she's killed.",10000000,57500000,"SLM Production Group, Silver Pictures, 20th Century Fox","SLM Production Group, Silver Pictures, 20th Century Fox",2525,6.664,1985-10-03,en
5123,August Rush,/oA6ZeICPINiS6YtD5WZeBaGVmuT.jpg,Released,Family,"Lyla and Louis, a singer and a musician, fall in love, but are soon compelled to separate. Lyla is forced to give up her newborn but unknown to her, he grows up to become a musical genius.",25000000,66122026,"Warner Bros. Pictures, Odyssey Entertainment, Southpaw Entertainment","Warner Bros. Pictures, Odyssey Entertainment, Southpaw Entertainment",2523,7.383,2007-11-21,en
452507,1922,/q4FQOiSRhTLWulHl5Vpg37FMArH.jpg,Released,Horror,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",0,0,"Campfire Studios, Lighthouse Pictures","Campfire Studios, Lighthouse Pictures",2522,5.939,2017-10-20,en
1255,The Host,/dEDLY3KeghKFzks5nTDWdigVikr.jpg,Released,Horror,"A teenage girl is captured by a giant mutated squid-like creature that appears from Seoul's Han River after toxic waste was dumped in it, prompting her family into a frantic search for her.",11000000,88489643,"Chungeorahm Film, Boston Investments, Cowell Investment Capital Co., IMM Venture Capital, Knowledge & Creation Ventures, M-Venture Investment, OCN, Sego Entertainment, Seoul Broadcasting System, Tube Pictures, Cineclick Asia, Happinet Pictures, CJ Entertainment, Showbox","Chungeorahm Film, Boston Investments, Cowell Investment Capital Co., IMM Venture Capital, Knowledge & Creation Ventures, M-Venture Investment, OCN, Sego Entertainment, Seoul Broadcasting System, Tube Pictures, Cineclick Asia, Happinet Pictures, CJ Entertainment, Showbox",2520,6.982,2006-07-27,ko
257091,Get Hard,/rJPbS2cYOYhDCjT5NmW1Fm6gFl3.jpg,Released,Comedy,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.",40000000,111811453,"Gary Sanchez Productions, Warner Bros. Pictures","Gary Sanchez Productions, Warner Bros. Pictures",2520,6.01,2015-03-26,en
3597,I Know What You Did Last Summer,/7OfTWTQEvPcwPrOdeLH0F3h6GRZ.jpg,Released,Horror,"After four high school friends are involved in a hit-and-run road accident, they dispose of the body and vow to keep the incident a secret. A year later, they each start receiving anonymous letters bearing the warning ""I Know What You Did Last Summer.""",17000000,125586134,"Summer Knowledge LLC, Mandalay Entertainment, Columbia Pictures","Summer Knowledge LLC, Mandalay Entertainment, Columbia Pictures",2520,5.941,1997-10-17,en
210860,Mortdecai,/j7eKGD0n1zRVfKMX6M1kpfavby7.jpg,Released,Comedy,"An art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.",60000000,47318560,"Lionsgate, Mad Chance, Infinitum Nihil, OddLot Entertainment, Huayi Brothers Pictures","Lionsgate, Mad Chance, Infinitum Nihil, OddLot Entertainment, Huayi Brothers Pictures",2517,5.508,2015-01-21,en
2666,Dark City,/eudlRpBPNQQKezaHxEavNecvc1X.jpg,Released,Mystery,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.",27000000,27200316,"New Line Cinema, Mystery Clock Cinema","New Line Cinema, Mystery Clock Cinema",2516,7.328,1998-02-27,en
8413,Event Horizon,/6b5Kux470PpQkgBdRqE9WtUpYfE.jpg,Released,Horror,"In 2047, a group of astronauts are sent to investigate and salvage the starship Event Horizon which disappeared mysteriously 7 years before on its maiden voyage. However, it soon becomes evident that something sinister resides in its corridors, and that the horrors that befell the Event Horizon's previous journey are still present.",60000000,26673242,"Impact Pictures, Paramount, Golar Productions, Lawrence Gordon Productions","Impact Pictures, Paramount, Golar Productions, Lawrence Gordon Productions",2516,6.528,1997-08-15,en
225565,That Awkward Moment,/6uOm6ryZg4GhYRPQZ2ID2TkTdpY.jpg,Released,Comedy,"Best pals Jason and Daniel indulge in casual flings and revel in their carefree, unattached lives. After learning that the marriage of their friend Mikey is over, they gladly welcome him back into their circle. The three young men make a pact to have fun and avoid commitment. However, when all three find themselves involved in serious relationships, they must keep their romances secret from one another.",8000000,45640143,"Treehouse Pictures, FilmDistrict, Focus Features","Treehouse Pictures, FilmDistrict, Focus Features",2512,6.15,2014-01-29,en
4513,30 Days of Night,/7LwSrvFA0gz1KAlcrGcinoQPene.jpg,Released,Horror,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",30000000,75505973,"HorrorFlix, Columbia Pictures, Ghost House Pictures, Dark Horse Entertainment, Mandate International","HorrorFlix, Columbia Pictures, Ghost House Pictures, Dark Horse Entertainment, Mandate International",2511,6.4,2007-10-17,en
